id,app_or_website,customer_collects,customer_segmentation,is_a_repeat_order,lead_time,n_customer_notes,n_items_above_quantity_10,n_listed_addresses,n_listed_payment_methods,n_previous_cancelled_orders,n_previous_completed_orders,n_small_items,payment_type,slot_date,store_number,total_price
TID27662,app,0.0,group_1,0.0,307.94124386264355,0.0,0.0,1.0,2.0,0.0,0.0,2.0,debit,2019-11-02 00:00:00,id_52,33.61475808547042
TID15406,app,0.0,group_1,0.0,92.98160663293665,0.0,1.0,1.0,3.0,0.0,0.0,1.0,debit,2019-11-17 00:00:00,id_1,55.40095755884308
TID22875,website,,group_1,0.0,26.147605224205133,1.0,1.0,1.0,1.0,0.0,0.0,1.0,debit,2019-10-15 00:00:00,id_69,85.46256761351596
TID05951,app,,group_1,0.0,67.41100786881239,0.0,2.0,1.0,2.0,0.0,0.0,2.0,debit,2019-11-09 00:00:00,id_79,46.157735510055225
TID07762,website,0.0,group_1,0.0,258.4651823361919,2.0,1.0,1.0,2.0,0.0,0.0,4.0,debit,2019-12-05 00:00:00,id_7,79.28207323845967
TID15381,website,0.0,group_1,0.0,50.83907149726135,0.0,0.0,1.0,2.0,0.0,0.0,1.0,debit,2019-09-13 00:00:00,id_66,56.632021091181485
TID09635,app,0.0,group_1,0.0,238.64854807792324,0.0,0.0,1.0,1.0,0.0,0.0,3.0,debit,2019-09-20 00:00:00,id_77,48.805225020760716
TID15879,website,0.0,group_1,0.0,6.627032111789248,1.0,2.0,1.0,2.0,0.0,0.0,1.0,credit,2019-10-06 00:00:00,id_89,84.4827193636679
TID19663,website,0.0,group_4,0.0,1.4265885737417712,2.0,0.0,1.0,3.0,0.0,0.0,1.0,debit,2019-11-13 00:00:00,id_6,85.8319202060643
TID36234,app,0.0,group_1,0.0,38.98862076400775,1.0,0.0,1.0,2.0,0.0,0.0,1.0,debit,2019-12-04 00:00:00,id_93,40.784106355353224
TID12663,app,0.0,group_1,0.0,105.66389134797899,0.0,0.0,1.0,2.0,0.0,0.0,3.0,debit,2019-09-19 00:00:00,id_62,46.157735510055225
TID35047,website,0.0,group_4,0.0,7.092845965618627,0.0,0.0,1.0,2.0,0.0,0.0,4.0,debit,2019-11-14 00:00:00,id_74,59.1115307017795
TID16350,website,0.0,group_4,0.0,142.66214842831417,1.0,2.0,1.0,2.0,0.0,0.0,0.0,debit,2019-11-11 00:00:00,id_31,53.35103960283868
TID31895,website,0.0,group_1,0.0,137.2722690842534,2.0,2.0,1.0,2.0,0.0,0.0,3.0,credit,2019-12-01 00:00:00,id_80,82.02948229565934
TID16749,website,,group_1,0.0,1.7725877146347835,1.0,0.0,1.0,2.0,0.0,0.0,3.0,debit,2019-08-08 00:00:00,id_13,78.58665050822567
TID04249,website,0.0,group_4,0.0,79.7545980019538,1.0,0.0,2.0,2.0,0.0,0.0,1.0,debit,2019-12-04 00:00:00,id_78,72.21552848211424
TID26104,website,0.0,group_1,0.0,10.314641409864477,3.0,2.0,2.0,2.0,0.0,0.0,1.0,debit,2019-08-26 00:00:00,id_53,89.8108654765611
TID05703,website,0.0,group_1,0.0,24.93581963149452,3.0,1.0,1.0,2.0,0.0,0.0,1.0,debit,2019-09-03 00:00:00,id_43,78.58665050822567
TID05429,app,0.0,group_4,0.0,9.043647612315185,0.0,2.0,1.0,1.0,0.0,0.0,2.0,debit,2019-10-05 00:00:00,id_71,56.09688344962229
TID35813,website,0.0,group_4,0.0,51.22105095785007,1.0,1.0,1.0,2.0,0.0,0.0,4.0,debit,2019-08-08 00:00:00,id_92,54.13422561570999
TID32970,website,,group_1,0.0,66.8354412984588,1.0,1.0,1.0,2.0,0.0,0.0,2.0,debit,2019-08-13 00:00:00,id_85,46.44485977332929
TID35997,app,0.0,group_1,0.0,31.111035464423605,0.0,1.0,1.0,2.0,0.0,0.0,2.0,debit,2019-08-24 00:00:00,id_50,46.157735510055225
TID12052,whoosh,1.0,group_1,,2.665214307535937,0.0,1.0,1.0,,0.0,1.0,0.0,debit,2019-11-05 00:00:00,id_51,52.99252167070896
TID27246,website,0.0,group_1,0.0,11.11388444000979,3.0,0.0,1.0,1.0,0.0,0.0,4.0,debit,2019-10-23 00:00:00,id_10,57.63826422013785
TID33155,app,0.0,group_1,0.0,35.0845407548294,0.0,0.0,1.0,2.0,0.0,0.0,3.0,debit,2019-10-09 00:00:00,id_40,46.157735510055225
TID32135,website,0.0,group_1,0.0,23.529847605144088,1.0,2.0,1.0,2.0,0.0,0.0,1.0,debit,2019-09-09 00:00:00,id_11,83.4286900961829
TID23139,app,0.0,group_1,0.0,156.4603284169875,0.0,0.0,1.0,2.0,0.0,0.0,3.0,debit,2019-11-15 00:00:00,id_44,42.407913402216344
TID17697,whoosh,,group_1,,6.304521130547878,0.0,0.0,1.0,,0.0,4.0,1.0,debit,2019-11-15 00:00:00,id_2,41.8678098117921
TID13310,website,0.0,group_4,0.0,174.18441457190815,0.0,0.0,1.0,3.0,0.0,0.0,4.0,debit,2019-11-14 00:00:00,id_35,52.846920729760285
TID05332,website,0.0,group_4,0.0,18.57595591005091,1.0,0.0,1.0,2.0,0.0,0.0,2.0,debit,2019-10-18 00:00:00,id_39,91.07990928464594
TID34950,whoosh,0.0,group_1,,3.222788107886991,1.0,2.0,1.0,,5.0,51.0,1.0,debit,2019-10-21 00:00:00,id_18,40.784106355353224
TID23945,website,0.0,group_1,0.0,3.6643580783252663,1.0,1.0,1.0,2.0,0.0,0.0,0.0,debit,2019-08-05 00:00:00,id_60,78.58665050822567
TID15085,website,0.0,group_4,0.0,1.244790158937935,1.0,1.0,1.0,3.0,0.0,0.0,1.0,debit,2019-12-03 00:00:00,id_46,89.17759412521566
TID18988,website,0.0,group_1,0.0,117.01240772759577,1.0,2.0,1.0,2.0,0.0,0.0,7.0,debit,2019-11-27 00:00:00,id_36,54.23781652391473
TID33868,website,0.0,group_1,0.0,20.711513714868364,1.0,1.0,1.0,2.0,0.0,0.0,3.0,credit,2019-11-08 00:00:00,id_96,70.33063239821028
TID21089,app,0.0,group_1,0.0,34.143911584423,0.0,0.0,1.0,2.0,0.0,0.0,3.0,debit,2019-09-27 00:00:00,id_27,51.428988517141185
TID15769,website,0.0,group_4,0.0,85.51472575229312,0.0,0.0,1.0,3.0,0.0,0.0,1.0,debit,2019-08-01 00:00:00,id_33,96.88851087013104
TID18682,website,0.0,group_1,0.0,174.9313379446626,3.0,0.0,1.0,2.0,0.0,0.0,3.0,debit,2019-10-09 00:00:00,id_43,54.4966494719206
TID18769,website,0.0,group_1,0.0,54.860944630592016,1.0,0.0,1.0,2.0,0.0,0.0,1.0,debit,2019-11-02 00:00:00,id_14,55.89083434658451
TID33469,website,0.0,group_4,0.0,71.01582950551402,1.0,2.0,1.0,3.0,0.0,0.0,5.0,credit,2019-11-10 00:00:00,id_25,92.24177218297022
TID19460,website,0.0,group_1,0.0,15.207620480374228,0.0,2.0,1.0,2.0,0.0,0.0,3.0,debit,2019-11-29 00:00:00,id_53,43.871283514957035
TID10876,website,0.0,group_1,0.0,11.427115410243353,1.0,0.0,1.0,2.0,0.0,0.0,1.0,debit,2019-10-13 00:00:00,id_61,74.18557739342863
